Dates,DIA_LAST,KO_LAST,AIG_LAST,PG_LAST
03/01/2010,104.02,26.635,21.5962,63.51
03/02/2010,104.01,26.65,20.9679,63.71
03/03/2010,104.09,26.965,20.8422,63.55
03/04/2010,104.5,27.235,22.3753,63.67
03/05/2010,105.76,27.35,23.5229,63.69
03/08/2010,105.59,27.23,24.3774,63.19
03/09/2010,105.71,27.09,27.4518,63.3
03/10/2010,105.77,27.1,30.3586,63.01
03/11/2010,106.28,26.8,29.412,63.17
03/12/2010,106.42,26.675,28.6748,63.32
3/15/2010,106.57,26.825,28.7502,63.7
3/16/2010,107.07,26.85,28.1555,63.53
3/17/2010,107.52,26.92,28.8256,64.01
3/18/2010,107.95,26.975,29.0183,63.73
3/19/2010,107.34,27.375,29.1523,63.84
3/22/2010,107.79,27.27,27.9712,63.88
3/23/2010,108.87,27.65,27.879,64.53
3/24/2010,108.4,27.31,27.7869,63.61
3/25/2010,108.44,27.4,28.9094,63.62
3/26/2010,108.43,27.325,28.6581,63.69
3/29/2010,108.92,27.385,28.8591,63.73
3/30/2010,109.13,27.435,28.6413,63.66
3/31/2010,108.61,27.5,28.5994,63.27
04/01/2010,109.28,27.65,28.5743,63.36
04/02/2010,109.28,27.65,28.5743,63.36
04/05/2010,109.73,27.43,29.3701,63.76
04/06/2010,109.72,27.145,30.0822,63.11
04/07/2010,109.05,26.91,33.2487,62.5
04/08/2010,109.37,26.88,31.4895,62.56
04/09/2010,110.06,27.295,31.9503,62.73
04/12/2010,110.18,27.38,34.5304,62.7
4/13/2010,110.25,27.51,33.6341,63
4/14/2010,111.29,27.475,33.2906,63.19
4/15/2010,111.56,27.13,33.4917,63
4/16/2010,110.18,27.485,32.7964,62.85
4/19/2010,110.84,27.66,32.7461,63.22
4/20/2010,111.1,27.235,34.8739,63.19
4/21/2010,111.16,27.095,34.2624,63.63
4/22/2010,111.35,27.155,36.231,63.59
4/23/2010,111.96,26.94,37.1776,63.54
4/26/2010,112.08,26.865,37.2865,63.94
4/27/2010,109.87,26.435,31.3052,63.11
4/28/2010,110.55,26.68,33.0979,63.17
4/29/2010,111.69,26.87,33.7011,62.2
4/30/2010,110.1,26.725,32.5869,62.16
05/03/2010,111.54,26.88,33.1231,62.68
05/04/2010,109.36,26.59,32.0424,61.71
05/05/2010,108.8,26.83,31.5817,62.16
05/06/2010,105.2625,26.15,30.7859,60.75